field _
SPLUS-n16s19 ATLAS_GALEX
SPLUS-n16s20 ATLAS_GALEX
SPLUS-n16s21 ATLAS_GALEX
SPLUS-n17s01 ATLAS_GALEX
SPLUS-n17s02 ATLAS_GALEX
SPLUS-n17s03 ATLAS_GALEX
SPLUS-n17s04 ATLAS_GALEX
SPLUS-n17s05 ATLAS_GALEX
SPLUS-n17s06 ATLAS_GALEX
SPLUS-n17s07 ATLAS_GALEX
SPLUS-n17s08 ATLAS_GALEX
SPLUS-n17s09 ATLAS_GALEX
SPLUS-n17s10 ATLAS_GALEX
SPLUS-n17s11 ATLAS_GALEX
SPLUS-n17s12 ATLAS_GALEX
SPLUS-n17s13 ATLAS_GALEX
SPLUS-n17s14 ATLAS_GALEX
SPLUS-n17s15 ATLAS
SPLUS-n17s16 ATLAS_GALEX
SPLUS-n17s17 ATLAS_GALEX
SPLUS-n17s18 ATLAS_GALEX
SPLUS-n17s19 ATLAS_GALEX
SPLUS-n17s20 ATLAS_GALEX
SPLUS-n17s21 ATLAS_GALEX
SPLUS-n17s51 ATLAS_GALEX
SPLUS-n18s10 ATLAS_GALEX
SPLUS-n18s11 ATLAS_GALEX
SPLUS-n18s12 ATLAS_GALEX
SPLUS-n18s13 ATLAS_GALEX
SPLUS-n18s14 ATLAS_GALEX
SPLUS-n18s15 ATLAS_GALEX
SPLUS-n18s16 ATLAS_GALEX
SPLUS-n18s17 ATLAS_GALEX
SPLUS-n18s18 ATLAS_GALEX
SPLUS-n18s19 ATLAS_GALEX
SPLUS-n18s20 ATLAS_GALEX
SPLUS-n18s21 ATLAS_GALEX
SPLUS-n18s51 ATLAS_GALEX
SPLUS-n19s01 ATLAS_GALEX
SPLUS-n19s03 ATLAS_GALEX
SPLUS-n19s04 ATLAS_GALEX
SPLUS-n19s05 ATLAS_GALEX
SPLUS-n19s06 ATLAS_GALEX
SPLUS-n19s07 ATLAS_GALEX
SPLUS-n20s34 ATLAS_GALEX
SPLUS-n20s35 ATLAS_GALEX
SPLUS-n20s40 ATLAS_GALEX
STRIPE82-0001 SDSS
STRIPE82-0002 SDSS
STRIPE82-0003 SDSS
STRIPE82-0004 SDSS
STRIPE82-0005 SDSS
STRIPE82-0006 SDSS
STRIPE82-0007 SDSS
STRIPE82-0008 SDSS
STRIPE82-0009 SDSS
STRIPE82-0010 SDSS
STRIPE82-0011 SDSS
STRIPE82-0012 SDSS
STRIPE82-0013 SDSS
STRIPE82-0014 SDSS
STRIPE82-0015 SDSS
STRIPE82-0016 SDSS
STRIPE82-0017 SDSS
STRIPE82-0018 SDSS
STRIPE82-0019 SDSS
STRIPE82-0020 SDSS
STRIPE82-0021 SDSS
STRIPE82-0022 SDSS
STRIPE82-0023 SDSS
STRIPE82-0024 SDSS
STRIPE82-0025 SDSS
STRIPE82-0026 SDSS
STRIPE82-0027 SDSS
STRIPE82-0028 SDSS
STRIPE82-0029 SDSS
STRIPE82-0030 SDSS
STRIPE82-0031 SDSS
STRIPE82-0032 SDSS
STRIPE82-0033 SDSS
STRIPE82-0034 SDSS
STRIPE82-0035 SDSS
STRIPE82-0036 SDSS
STRIPE82-0037 SDSS
STRIPE82-0038 SDSS
STRIPE82-0039 SDSS
STRIPE82-0040 SDSS
STRIPE82-0041 SDSS
STRIPE82-0042 SDSS
STRIPE82-0043 SDSS
STRIPE82-0044 SDSS
STRIPE82-0045 SDSS
STRIPE82-0046 SDSS
STRIPE82-0047 SDSS
STRIPE82-0048 SDSS
STRIPE82-0049 SDSS
STRIPE82-0050 SDSS
STRIPE82-0051 SDSS
